inningsid,batteamname,name,runs,balls,fours,sixes
1,Ireland,Stirling,5,5,1,0
1,Ireland,Balbirnie,10,5,2,0
1,Ireland,Lorcan Tucker,84,56,9,3
1,Ireland,Curtis Campher,17,11,2,1
1,Ireland,Getkate,5,10,0,0
1,Ireland,Neil Rock,4,5,0,0
1,Ireland,William McClintock,1,3,0,0
1,Ireland,Mark Adair,3,4,0,0
1,Ireland,Simi Singh,13,11,1,0
1,Ireland,Barry McCarthy,0,1,0,0
1,Ireland,Benjamin White,2,2,0,0
2,United States,Ritwik Behera,16,23,1,0
2,United States,Ryan Scott,11,11,2,0
2,United States,Monank Patel,26,27,2,1
2,United States,Gajanand Singh,22,20,1,1
2,United States,Sushant Modani,27,16,1,2
2,United States,Marty Kain,11,11,1,0
2,United States,Nisarg Patel,10,6,2,0
2,United States,Yasir Mohammad,0,2,0,0
2,United States,Saurabh Netravalkar,5,6,0,0
2,United States,Vatsal Vaghela,0,0,0,0
2,United States,Ali Khan,0,0,0,0
1,Ireland,Stirling,5,5,1,0
1,Ireland,Balbirnie,10,5,2,0
1,Ireland,Lorcan Tucker,84,56,9,3
1,Ireland,Curtis Campher,17,11,2,1
1,Ireland,Getkate,5,10,0,0
1,Ireland,Neil Rock,4,5,0,0
1,Ireland,William McClintock,1,3,0,0
1,Ireland,Mark Adair,3,4,0,0
1,Ireland,Simi Singh,13,11,1,0
1,Ireland,Barry McCarthy,0,1,0,0
1,Ireland,Benjamin White,2,2,0,0
2,United States,Ritwik Behera,16,23,1,0
2,United States,Ryan Scott,11,11,2,0
2,United States,Monank Patel,26,27,2,1
2,United States,Gajanand Singh,22,20,1,1
2,United States,Sushant Modani,27,16,1,2
2,United States,Marty Kain,11,11,1,0
2,United States,Nisarg Patel,10,6,2,0
2,United States,Yasir Mohammad,0,2,0,0
2,United States,Saurabh Netravalkar,5,6,0,0
2,United States,Vatsal Vaghela,0,0,0,0
2,United States,Ali Khan,0,0,0,0
